facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND01032,601,51.68,-113.26,1,4,2,120,5,30,120,15758.789975481603,0,14,False,,,17,13,103,6,False,1,0,1,0.17835671342685372,0.644347218493044
ABRAND00785,351,52.4,-114.55,1,4,2,120,5,30,120,2825.4448416096,0,10,False,,,15,11,103,6,False,1,0,0,0.18036072144288579,0.6465057257065753
ABRAND00786,311,52.45,-114.55,1,4,2,120,5,30,120,29155.4535596832,1,10,False,,,15,11,103,6,False,1,0,0,0.18236472945891782,0.6486090118589798
ABRAND01167,506,55.26,-110.32,1,4,2,120,5,30,120,46726.5609457632,1,14,False,,,9,19,103,6,False,1,0,0,0.1843687374749499,0.6507017608505143
ABRAND01012,331,55.51,-113.85,1,4,2,120,5,30,120,8006.144195808,2,10,False,,,9,12,103,6,False,1,3,0,0.18637274549098196,0.6527926494290663
ABRAND01129,331,55.52,-110.76,1,4,2,120,5,30,120,3429.8250276384,1,11,False,,,9,18,103,6,False,1,0,0,0.18837675350701402,0.654871949196693
ABRAND00089,601,54.78,-119.52,1,4,2,120,5,30,120,23230.326182313598,1,11,False,,,10,1,81,6,False,1,0,0,0.1903807615230461,0.6569444634263341
ABRAND00127,601,55.09,-119.29,1,4,2,120,5,30,120,5154.6604593311995,0,11,False,,,10,1,81,6,False,1,0,0,0.19238476953907815,0.6590048234542335
ABRAND00274,601,54.85,-117.54,1,4,2,120,5,30,120,7652.413261065601,0,10,False,,,10,5,81,6,False,1,0,0,0.19438877755511022,0.6610397144912254
ABRAND00219,351,54.46,-118.69,1,4,2,120,5,30,120,7132.169330928,1,13,False,,,11,3,81,6,False,1,0,0,0.1963927855711423,0.6630398021841417
ABRAND00232,351,54.26,-118.56,1,4,2,120,5,30,120,7573.564445846401,0,12,False,,,11,3,81,6,False,1,0,1,0.19839679358717435,0.6650179648907766
ABRAND00214,351,54.45,-118.7,1,4,2,120,5,30,120,21830.477980003205,1,15,False,,,11,3,81,6,False,1,0,0,0.20040080160320642,0.6669942228153524
ABRAND00253,361,54.42,-117.79,1,4,2,120,5,30,120,7296.9381514656,2,12,False,,,11,4,81,6,False,1,0,0,0.20240480961923848,0.6689678047701227
ABRAND00032,601,55.04,-119.83,1,4,2,120,5,30,120,6779.130999840001,1,10,False,,,10,0,81,6,False,1,0,1,0.20440881763527055,0.6709230837333923
ABRAND00992,351,52.77,-113.99,1,4,2,120,5,30,120,17722.1582857728,2,18,False,,,14,12,80,6,False,1,5,0,0.20641282565130262,0.6728627482615488
ABRAND00998,621,52.77,-113.94,1,4,2,120,5,30,120,4337.4031282944,0,9,False,,,14,12,80,6,False,1,0,0,0.20841683366733466,0.6747740277654746
ABRAND00933,361,52.96,-114.18,1,4,2,120,5,30,120,11782.1408754816,0,16,False,,,14,12,80,6,False,1,0,0,0.21042084168336672,0.6766760613192147
ABRAND00958,361,52.83,-114.12,1,4,2,120,5,30,120,3319.9041297888,0,10,False,,,14,12,80,6,False,1,0,0,0.2124248496993988,0.6785650767687855
ABRAND00957,621,52.9,-114.12,1,4,2,120,5,30,120,16251.212952000002,0,13,False,,,14,12,80,6,False,1,0,0,0.21442885771543085,0.6804525905773582
ABRAND01003,361,52.9,-113.91,1,4,2,120,5,30,120,8870.1161638464,0,18,False,,,14,12,80,6,False,1,0,0,0.21643286573146292,0.6823315792960736
ABRAND00956,362,52.85,-114.12,1,4,2,120,5,30,120,36150.8434608384,1,10,False,,,14,12,80,6,False,1,5,0,0.218436873747495,0.6841886284644905
ABRAND00972,351,53.04,-114.08,1,4,2,120,5,30,120,6554.908991635201,2,15,False,,,14,12,80,6,False,1,0,1,0.22044088176352705,0.6860396977175652
ABRAND01008,361,52.77,-113.88,1,4,2,120,5,30,120,14108.5176674112,3,16,False,,,14,12,80,6,False,1,3,1,0.22244488977955912,0.6878184165896226
ABRAND00273,601,54.07,-117.55,1,4,2,120,5,30,120,268626.3557017824,0,10,False,,,12,5,72,6,False,1,1,0,0.22444889779559118,0.6895685318971313
ABRAND00420,601,52.87,-115.92,1,4,2,120,5,30,120,9508.558499855999,0,11,False,,,14,8,72,6,False,1,0,1,0.22645290581162325,0.6913131085075462
