facility_ID,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00117,55.4,-119.34,1,4,6,120,5,30,120
ABRAND00118,55.33,-119.33,1,4,6,120,5,30,120
ABRAND00119,55.6,-119.32,3,4,6,120,5,30,120
ABRAND00120,54.94,-119.32,3,4,6,120,5,30,120
ABRAND00121,55.44,-119.3,3,4,6,120,5,30,120
ABRAND00122,54.73,-119.3,3,4,6,120,5,30,120
ABRAND00123,55.02,-119.3,3,4,6,120,5,30,120
ABRAND00124,54.83,-119.3,3,4,6,120,5,30,120
ABRAND00125,54.95,-119.29,3,4,6,120,5,30,120
ABRAND00126,54.9,-119.29,3,4,6,120,5,30,120
ABRAND00127,55.09,-119.29,3,4,6,120,5,30,120
ABRAND00128,54.86,-119.27,3,4,6,120,5,30,120
ABRAND00129,54.66,-119.26,3,4,6,120,5,30,120
ABRAND00130,54.61,-119.26,3,4,6,120,5,30,120
ABRAND00131,54.9,-119.26,3,4,6,120,5,30,120
ABRAND00132,55.27,-119.26,1,4,6,120,5,30,120
ABRAND00133,54.99,-119.26,3,4,6,120,5,30,120
ABRAND00134,55.38,-119.24,1,4,6,120,5,30,120
ABRAND00135,55.29,-119.24,3,4,6,120,5,30,120
ABRAND00136,55.43,-119.24,1,4,6,120,5,30,120
ABRAND00137,55.32,-119.23,1,4,6,120,5,30,120
ABRAND00138,55.35,-119.22,1,4,6,120,5,30,120
ABRAND00139,55.02,-119.19,3,4,6,120,5,30,120
ABRAND00140,55.3,-119.19,1,4,6,120,5,30,120
ABRAND00141,54.52,-119.18,1,4,6,120,5,30,120
ABRAND00142,55.08,-119.17,3,4,6,120,5,30,120
ABRAND00143,54.51,-119.17,3,4,6,120,5,30,120
ABRAND00144,54.7,-119.15,3,4,6,120,5,30,120
ABRAND00145,55.56,-119.15,3,4,6,120,5,30,120
ABRAND00146,54.43,-119.15,1,4,6,120,5,30,120
ABRAND00147,54.88,-119.14,3,4,6,120,5,30,120
ABRAND00148,54.97,-119.14,3,4,6,120,5,30,120
ABRAND00149,54.54,-119.14,1,4,6,120,5,30,120
ABRAND00150,54.71,-119.13,1,4,6,120,5,30,120
ABRAND00151,54.23,-119.13,3,4,6,120,5,30,120
ABRAND00152,54.8,-119.12,3,4,6,120,5,30,120
ABRAND00153,54.58,-119.12,3,4,6,120,5,30,120
ABRAND00154,54.95,-119.11,3,4,6,120,5,30,120
ABRAND00155,54.8,-119.1,3,4,6,120,5,30,120
ABRAND00156,54.63,-119.09,1,4,6,120,5,30,120
ABRAND00157,54.56,-119.09,1,4,6,120,5,30,120
ABRAND00158,54.38,-119.07,1,4,6,120,5,30,120
ABRAND00159,54.79,-119.06,3,4,6,120,5,30,120
ABRAND00160,54.76,-119.04,3,4,6,120,5,30,120
ABRAND00161,54.57,-119.03,1,4,6,120,5,30,120
ABRAND00162,54.7,-119.03,3,4,6,120,5,30,120
ABRAND00163,54.45,-119.02,1,4,6,120,5,30,120
ABRAND00164,54.52,-119.01,1,4,6,120,5,30,120
ABRAND00165,55.6,-119,1,4,6,120,5,30,120
ABRAND00166,55.25,-119,3,4,6,120,5,30,120
ABRAND00167,54.36,-118.99,3,4,6,120,5,30,120
ABRAND00168,54.5,-118.98,1,4,6,120,5,30,120
ABRAND00169,54.69,-118.97,3,4,6,120,5,30,120
ABRAND00170,55.34,-118.96,3,4,6,120,5,30,120
ABRAND00171,54.42,-118.95,1,4,6,120,5,30,120
ABRAND00172,54.44,-118.94,1,4,6,120,5,30,120
ABRAND00173,54.43,-118.94,1,4,6,120,5,30,120
ABRAND00174,54.54,-118.94,1,4,6,120,5,30,120
ABRAND00175,55.34,-118.94,3,4,6,120,5,30,120
ABRAND00176,54.42,-118.93,1,4,6,120,5,30,120
ABRAND00177,54.62,-118.91,3,4,6,120,5,30,120
ABRAND00178,54.22,-118.91,1,4,6,120,5,30,120
ABRAND00179,54.72,-118.9,3,4,6,120,5,30,120
ABRAND00180,54.53,-118.89,3,4,6,120,5,30,120
ABRAND00181,54.38,-118.89,1,4,6,120,5,30,120
ABRAND00182,54.95,-118.88,3,4,6,120,5,30,120
ABRAND00183,54.42,-118.87,1,4,6,120,5,30,120
ABRAND00184,54.65,-118.86,1,4,6,120,5,30,120
ABRAND00185,54.5,-118.86,1,4,6,120,5,30,120
ABRAND00186,54.34,-118.86,1,4,6,120,5,30,120
ABRAND00187,54.65,-118.85,3,4,6,120,5,30,120
