facility_ID,facility_name,operator_code,operator_name,subtype_code,subtype,license_number,EDCT_code,LDAR,EDCT_description,Licensee_code,operational_status,lat,lon,lat_adj,lon_adj,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABCS0031915,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F31915    ,340,A,Compressor Stn <1t/d,A632,Active,53.6592636,-117.9589767,53.58372187,-117.9075869,3,4,6,120,5,30,120
ABCS0026644,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F26644    ,40,T,Compressor Stn <0.01,0XL9,Active,56.2562485,-117.9152832,56.24000837,-117.8780254,3,4,6,120,5,30,120
ABBT0145188,Berland 11-23-058-26 W5             ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F33684    ,40,A,Compressor Stn <0.01,A5D4,Active,54.029789,-117.7575912,53.88908047,-117.8554882,3,4,6,120,5,30,120
ABCS0033684,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F33684    ,40,T,Compressor Stn <0.01,A5D4,Active,54.029789,-117.7575912,53.78752511,-117.831904,3,4,6,120,5,30,120
ABBT0138798,Canhunter Saxon 16-14-61-25         ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F45437    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.2801895,-117.7735138,54.42539801,-117.7939055,3,4,6,120,5,30,120
ABCS0036626,Burlington Resources Canada Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F36626    ,440,A,Compressor Stn >=1t/d,A632,Active,53.5201111,-117.7416687,53.41841523,-117.7860432,3,4,6,120,5,30,120
ABBT0145183,Berland 02-05-060-24w500            ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F33140    ,40,A,Compressor Stn <0.01,A5D4,Active,54.1539536,-117.5588608,54.05000317,-117.751476,3,4,6,120,5,30,120
ABCS0025518,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F25518    ,440,A,Compressor Stn >=1t/d,0XL9,Active,53.626255,-117.7693024,53.50108195,-117.7440908,3,4,6,120,5,30,120
ABGS0100579,Berland 07-16-59-24w5 Ggs           ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F40491    ,411,A,Gas Multi Bty >=1t/d,A5D4,Active,54.0995178,-117.5345764,54.08321253,-117.7107135,3,4,6,120,5,30,120
ABBT0145208,Berland 13-23-060-25 W5 Hz Swb      ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0439843 ,140,A,Single Well 0.00    ,A5D4,Active,54.1972122,-117.6279602,54.02148642,-117.7047953,3,4,6,120,5,30,120
ABCS0026216,Conoco Canada Resources Limited     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F26216    ,40,T,Compressor Stn <0.01,A5G3,Active,53.2594681,-117.5386887,53.21787655,-117.7031892,3,4,6,120,5,30,120
ABBT0126299,Copol 100 Hz Simon 13-13 Pad        ,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F45437    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.2801895,-117.7735138,54.14107739,-117.6763359,3,4,6,120,5,30,120
ABBT0145204,Berland 14-15-059-24 W5 Swb         ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,F26841    ,10,A,Gas Plant <0.01     ,A573,New,54.106781,-117.5168457,54.06075409,-117.6560967,3,4,6,120,5,30,120
ABBT0094709,Berland 13-11                       ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0334138 ,140,A,Single Well 0.00    ,A5D4,New,54.0032005,-117.6128464,54.02654878,-117.6378456,3,4,6,120,5,30,120
ABCS0025923,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F25923    ,440,A,Compressor Stn >=1t/d,A632,Active,53.6115265,-117.6831894,53.63980305,-117.6316066,3,4,6,120,5,30,120
ABGS0145286,Berland 01-21-050-24w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F35176    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1122971,-117.5311508,53.99667214,-117.6268793,3,4,6,120,5,30,120
ABBT0145187,Berland 09-05-059-24 W5             ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F35755    ,40,A,Compressor Stn <0.01,A5D4,Active,54.0747833,-117.5567551,54.20415896,-117.6259319,3,4,6,120,5,30,120
ABCS0033592,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F33592    ,40,T,Compressor Stn <0.01,A5D4,Active,54.0958977,-117.5536041,54.09522382,-117.6219818,3,4,6,120,5,30,120
ABBT0050630,Paneast Berland River West 7-16     ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F40491    ,411,A,Gas Multi Bty >=1t/d,A5D4,Active,54.0995178,-117.5345764,54.17683126,-117.5921182,3,4,6,120,5,30,120
ABBT0094707,Berland 01-12                       ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0345915 ,140,A,Single Well 0.00    ,A5D4,New,54.2572899,-117.456871,54.26877915,-117.5883312,3,4,6,120,5,30,120
ABCS0032646,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F32646    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1102257,-117.5097809,54.25110293,-117.5872452,3,4,6,120,5,30,120
ABGS0145536,Berland 09-05-059-24w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F35755    ,40,T,Compressor Stn <0.01,A5D4,Active,54.0747833,-117.5567551,54.15029354,-117.575785,3,4,6,120,5,30,120
ABGS0145535,Berland 02-05-060-24w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F33140    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1539536,-117.5588608,54.2357489,-117.5741933,3,4,6,120,5,30,120
ABGS0145537,Berland 11-23-058-26w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F33684    ,40,T,Compressor Stn <0.01,A5D4,Active,54.029789,-117.7575912,53.98366555,-117.5643152,3,4,6,120,5,30,120
ABCS0035755,Burlington Resources Canada Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F35755    ,40,T,Compressor Stn <0.01,A5D4,Active,54.0747833,-117.5567551,54.07471056,-117.5538895,3,4,6,120,5,30,120
ABCS0036641,Burlington Resources Canada Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F36641    ,40,T,Compressor Stn <0.01,A5D4,Active,54.8417206,-117.2812271,54.85259386,-117.5485001,3,4,6,120,5,30,120
ABBT0145184,Berland 01-21-059-24w5              ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F35176    ,40,A,Compressor Stn <0.01,A5D4,Active,54.1122971,-117.5311508,54.09025758,-117.536107,3,4,6,120,5,30,120
ABBT0145211,Berland 14-15-059-24 W5 No Comp     ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F26841    ,10,A,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,54.23930671,-117.5258893,3,4,6,120,5,30,120
ABCS0035176,Burlington Resources Canada Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F35176    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1122971,-117.5311508,54.00683499,-117.5242753,3,4,6,120,5,30,120
